,이름,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,구우편번호,신우편번호,경도,위도
2221,연남닭발 ,연남닭발,,음식,한식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 444-1,서울특별시 서대문구 연희로,서울특별시 서대문구 연희로 34,120836,3784.0,126.927394501656,37.5616964160201
2222,초밥사랑 ,초밥사랑,,음식,일식/수산물,서울특별시,서대문구,북아현동,북아현동,서울특별시 서대문구 북아현동 54-1,서울특별시 서대문구 신촌로37길,서울특별시 서대문구 신촌로37길 39-14,120820,3757.0,126.95890529334,37.5585004772772
2223,또오래 ,또오래,,음식,분식,서울특별시,서대문구,북가좌2동,북가좌동,서울특별시 서대문구 북가좌동 459,서울특별시 서대문구 증가로,서울특별시 서대문구 증가로 200-8,120130,3670.0,126.917126411242,37.5798126233513
2224,카쿠레야 ,카쿠레야,,음식,유흥주점,서울특별시,서대문구,연희동,연희동,서울특별시 서대문구 연희동 192-10,서울특별시 서대문구 연희맛로,서울특별시 서대문구 연희맛로 5,120825,3707.0,126.928428534375,37.5661569343308
2225,T원연세대 ,T원연세대,,음식,한식,서울특별시,서대문구,신촌동,신촌동,서울특별시 서대문구 신촌동 134,서울특별시 서대문구 연세로,서울특별시 서대문구 연세로 50,120749,3722.0,126.942916817516,37.5638006863037
2226,이모네분식 ,이모네분식,,음식,분식,서울특별시,서대문구,홍은1동,홍은동,서울특별시 서대문구 홍은동 9-136,서울특별시 서대문구 홍은중앙로,서울특별시 서대문구 홍은중앙로 100-6,120100,3605.0,126.948723916363,37.599200223226
2227,파스타입니다 홍제점,파스타입니다,홍제점,음식,양식,서울특별시,서대문구,홍제1동,홍제동,서울특별시 서대문구 홍제동 90-67,서울특별시 서대문구 통일로,서울특별시 서대문구 통일로 375,120853,3730.0,126.949271946297,37.5835811460217
2228,"다올감자탕,곰탕 ","다올감자탕,곰탕",,음식,한식,서울특별시,서대문구,홍은1동,홍은동,서울특별시 서대문구 홍은동 9-337,서울특별시 서대문구 홍은중앙로,서울특별시 서대문구 홍은중앙로 97,120841,3602.0,126.948334746558,37.5994940973357
2229,수제토마돈치킨 ,수제토마돈치킨,,음식,닭/오리요리,서울특별시,서대문구,홍은1동,홍은동,서울특별시 서대문구 홍은동 9-148,서울특별시 서대문구 포방터2가길,서울특별시 서대문구 포방터2가길 3,120100,3606.0,126.949497179937,37.5989728396874
2230,홍제순대국 ,홍제순대국,,음식,별식/퓨전요리,서울특별시,서대문구,홍제1동,홍제동,서울특별시 서대문구 홍제동 330-210,서울특별시 서대문구 통일로39나길,서울특별시 서대문구 통일로39나길 5-1,120859,3637.0,126.94337454217,37.5882859715655
2231,당신과나의귀한인연 ,당신과나의귀한인연,,음식,한식,서울특별시,서대문구,홍은2동,홍은동,서울특별시 서대문구 홍은동 376-8,서울특별시 서대문구 명지2길,서울특별시 서대문구 명지2길 13,120848,3659.0,126.927544921648,37.5827820442163
2232,연희비어 ,연희비어,,음식,유흥주점,서울특별시,서대문구,연희동,연희동,서울특별시 서대문구 연희동 192-10,서울특별시 서대문구 연희맛로,서울특별시 서대문구 연희맛로 5,120825,3707.0,126.928428534375,37.5661569343308
